Scan started at 15:00:19 30/09/2014
Time (s)	x (nT)	y (nT)	z (nT)	Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-367.96	557.145	-23.0691	0.195622	47.2438	69.8552	2.49662	
0.00499208	-367.857	556.99	-23.277	0.293434	33.1353	53.6983	2.28109	
0.00998416	-367.792	556.82	-23.5486	0.391245	12.2716	23.4238	1.16542	
0.0149762	-367.932	556.96	-23.3995	0.489056	20.1574	29.2691	1.07703	
0.0199683	-367.997	557.125	-23.1248	0.586867	11.2815	15.4205	0.911236	
0.0249604	-367.858	556.984	-23.2675	0.684678	13.7665	21.8719	0.728973	
0.0299525	-367.787	556.827	-23.5467	0.782489	7.23238	12.2705	0.480473	
0.0349446	-367.926	556.976	-23.4095	0.880301	10.4553	16.0515	0.547816	
0.0399366	-367.999	557.134	-23.1352	0.978112	6.47439	9.44619	0.470464	
0.0449287	-367.867	556.987	-23.2743	1.07592	8.4243	12.9292	0.3487	
0.0499208	-367.801	556.82	-23.5524	1.17373	5.46998	8.52036	0.325553	
0.0549129	-367.938	556.961	-23.4084	1.27155	6.86517	10.7048	0.330163	
0.059905	-367.997	557.124	-23.1205	1.36936	4.9793	7.66475	0.273443	
0.064897	-367.857	556.991	-23.2629	1.46717	5.91245	9.10932	0.246586	
0.0698891	-367.796	556.843	-23.5501	1.56498	4.43952	6.83757	0.23406	
0.0748812	-367.931	556.983	-23.4169	1.66279	4.9915	7.70983	0.226511	
0.0798733	-367.993	557.139	-23.1276	1.7606	4.17867	6.43081	0.196597	
0.0848654	-367.865	556.999	-23.2577	1.85841	4.39837	6.8026	0.196547	
0.0898574	-367.806	556.835	-23.5427	1.95622	3.86926	5.98215	0.18365	
0.0948495	-367.935	556.968	-23.4056	2.05403	3.78053	5.8501	0.177166	
0.0998416	-367.998	557.131	-23.1195	2.15185	3.68084	5.66123	0.171727	
0.104834	-367.86	556.998	-23.2593	2.24966	3.36822	5.17824	0.162418	
0.109826	-367.797	556.84	-23.5505	2.34747	3.46869	5.37109	0.158271	
0.114818	-367.935	556.972	-23.4108	2.44528	2.96788	4.60169	0.146879	
0.11981	-367.996	557.127	-23.118	2.54309	3.30372	5.08711	0.148584	
0.124802	-367.864	556.992	-23.2568	2.6409	2.64034	4.05226	0.133014	
0.129794	-367.797	556.838	-23.5545	2.73871	3.1695	4.90235	0.138364	
0.134786	-367.934	556.976	-23.4152	2.83652	2.33934	3.60938	0.124521	
0.139778	-367.997	557.131	-23.1174	2.93434	3.01825	4.65607	0.123999	
0.14477	-367.859	557	-23.2565	3.03215	2.14439	3.30547	0.118858	
0.149762	-367.796	556.847	-23.551	3.12996	2.87572	4.44217	0.114163	
0.154754	-367.924	556.981	-23.4138	3.22777	1.91584	2.9611	0.108532	
0.159747	-367.993	557.138	-23.1176	3.32558	2.774	4.27465	0.110952	
