Scan started at 15:02:45 30/09/2014
Time (s)	x (nT)	y (nT)	z (nT)	Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-367.606	556.904	-23.653	0.195622	44.4528	69.0285	5.90622	
0.00499208	-367.772	557.044	-23.3669	0.293434	36.126	55.3675	5.43211	
0.00998416	-367.869	557.16	-23.1865	0.391245	22.7793	23.7946	5.34585	
0.0149762	-367.618	556.992	-23.5755	0.489056	23.5532	28.8093	4.32535	
0.0199683	-367.52	556.876	-23.7556	0.586867	13.7388	15.7311	2.5388	
0.0249604	-367.774	557.048	-23.3632	0.684678	15.9564	22.2713	1.95825	
0.0299525	-367.872	557.162	-23.1786	0.782489	9.86212	13.4622	1.52347	
0.0349446	-367.623	556.986	-23.5718	0.880301	10.7535	16.0846	1.34172	
0.0399366	-367.525	556.873	-23.7576	0.978112	7.64041	10.2344	1.12942	
0.0449287	-367.776	557.052	-23.37	1.07592	9.0435	12.7427	0.903943	
0.0499208	-367.869	557.168	-23.1945	1.17373	6.30063	8.7415	0.740291	
0.0549129	-367.615	556.986	-23.576	1.27155	7.4572	10.8135	0.439839	
0.059905	-367.524	556.868	-23.7479	1.36936	5.46112	7.72229	0.379718	
0.064897	-367.77	557.049	-23.3537	1.46717	6.22606	9.1999	0.394694	
0.0698891	-367.86	557.17	-23.17	1.56498	4.94369	7.13475	0.367198	
0.0748812	-367.616	556.993	-23.5679	1.66279	5.23443	7.80998	0.345731	
0.0798733	-367.52	556.867	-23.7598	1.7606	4.41108	6.48204	0.332323	
0.0848654	-367.771	557.041	-23.3776	1.85841	4.64954	6.87328	0.305684	
0.0898574	-367.865	557.17	-23.1925	1.95622	4.2128	6.1198	0.329137	
0.0948495	-367.615	556.991	-23.581	2.05403	4.15352	5.99123	0.272179	
0.0998416	-367.53	556.87	-23.7567	2.15185	4.01713	5.74049	0.297698	
0.104834	-367.783	557.053	-23.3594	2.24966	3.69275	5.24168	0.27122	
0.109826	-367.876	557.167	-23.179	2.34747	3.78346	5.43241	0.267517	
0.114818	-367.616	556.992	-23.5629	2.44528	3.32148	4.71766	0.265501	
0.11981	-367.515	556.873	-23.7491	2.54309	3.55059	5.15805	0.231137	
0.124802	-367.772	557.045	-23.3675	2.6409	2.97021	4.21261	0.232293	
0.129794	-367.874	557.166	-23.1824	2.73871	3.39721	4.93209	0.210103	
0.134786	-367.619	556.995	-23.5773	2.83652	2.63068	3.69692	0.207263	
0.139778	-367.519	556.871	-23.7522	2.93434	3.27168	4.74609	0.194237	
0.14477	-367.777	557.04	-23.3545	3.03215	2.41096	3.31888	0.190394	
0.149762	-367.871	557.166	-23.1697	3.12996	3.0895	4.50624	0.187007	
0.154754	-367.617	556.994	-23.5575	3.22777	2.21198	3.03404	0.179681	
0.159747	-367.525	556.872	-23.7514	3.32558	2.95127	4.31004	0.177963	
0.164739	-367.781	557.048	-23.3732	3.42339	2.02238	2.78159	0.168653	
0.169731	-367.877	557.166	-23.1944	3.5212	2.82604	4.14696	0.172153	
0.174723	-367.622	556.993	-23.5805	3.61901	1.86349	2.52421	0.162624	
0.179715	-367.527	556.872	-23.7611	3.71683	2.71546	3.96013	0.159775	
0.184707	-367.786	557.048	-23.3687	3.81464	1.73667	2.3161	0.155919	
0.189699	-367.875	557.164	-23.1762	3.91245	2.59366	3.7914	0.152123	
0.194691	-367.613	556.988	-23.554	4.01026	1.66818	2.21769	0.148414	
0.199683	-367.522	556.864	-23.7468	4.10807	2.4748	3.62367	0.142969	
0.204675	-367.782	557.041	-23.3741	4.20588	1.55288	2.07611	0.13543	
0.209667	-367.877	557.171	-23.1901	4.30369	2.35653	3.44458	0.140581	
0.214659	-367.614	556.99	-23.5786	4.4015	1.49477	1.99943	0.131572	
0.219652	-367.52	556.864	-23.7576	4.49931	2.24996	3.30017	0.133139	
0.224644	-367.784	557.044	-23.3657	4.59713	1.46863	1.9671	0.127982	
0.229636	-367.873	557.172	-23.1776	4.69494	2.14788	3.12323	0.132776	
0.234628	-367.616	556.99	-23.5642	4.79275	1.43344	1.91104	0.127346	
0.23962	-367.529	556.867	-23.7538	4.89056	2.03848	2.95963	0.128645	
0.244612	-367.778	557.049	-23.3736	4.98837	1.43114	1.92841	0.122156	
0.249604	-367.871	557.161	-23.1914	5.08618	1.94104	2.82375	0.121085	
0.254596	-367.617	556.98	-23.5701	5.18399	1.37776	1.90222	0.115877	
0.259588	-367.52	556.87	-23.7505	5.2818	1.82051	2.64561	0.114372	
0.26458	-367.782	557.046	-23.3671	5.37962	1.38053	1.91005	0.107001	
