Scan started at 10:05:42 07/10/2014
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-365.438	558.231	-23.6118	0.195622	38.1901	57.5312	2.51389	0	-0.829224	-0.667114	305.68	0.195622	0.00372015	0.0037999	8.40413	
0.00499208	-365.401	558.188	-23.6895	0.293434	33.4829	51.6051	1.63953	0.00499208	-2.81165	-2.70526	305.694	0.293434	0.0137015	0.00691176	14.4687	
0.00998416	-365.517	558.288	-23.5736	0.391245	14.7205	26.0662	0.731077	0.00998416	-2.19965	-2.16455	305.742	0.391245	0.00290491	0.00283077	4.01556	
0.0149762	-365.703	558.476	-23.3044	0.489056	18.2579	27.5692	1.01211	0.0149762	2.43774	2.50256	305.75	0.489056	0.00986228	0.00603098	8.46801	
0.0199683	-365.585	558.372	-23.422	0.586867	10.4386	16.6565	0.516828	0.0199683	1.88318	2.01776	305.706	0.586867	0.00256426	0.00264194	2.96511	
0.0249604	-365.413	558.184	-23.6975	0.684678	12.1697	19.1222	0.53191	0.0249604	-2.76648	-2.6557	305.697	0.684678	0.00583293	0.00334392	5.95485	
0.0299525	-365.536	558.287	-23.5821	0.782489	8.43609	12.6877	0.486437	0.0299525	-2.26501	-2.21753	305.737	0.782489	0.00238372	0.00223322	2.42837	
0.0349446	-365.709	558.473	-23.3046	0.880301	9.2642	14.9935	0.311102	0.0349446	2.39014	2.4577	305.752	0.880301	0.00504384	0.00337803	4.57915	
0.0399366	-365.584	558.375	-23.4197	0.978112	6.38704	9.56429	0.350095	0.0399366	1.92548	2.0481	305.708	0.978112	0.00254179	0.00237466	2.07309	
0.0449287	-365.402	558.185	-23.6923	1.07592	7.58373	12.3681	0.235445	0.0449287	-2.73029	-2.62048	305.694	1.07592	0.00434227	0.00300311	3.624	
0.0499208	-365.519	558.281	-23.5745	1.17373	5.45567	8.13935	0.258828	0.0499208	-2.3045	-2.25433	305.739	1.17373	0.00248706	0.00238105	1.95265	
0.0549129	-365.708	558.479	-23.3068	1.27155	6.2758	10.1629	0.187437	0.0549129	2.34131	2.40991	305.765	1.27155	0.00382141	0.00292815	3.00225	
0.059905	-365.59	558.389	-23.4227	1.36936	4.82402	7.25618	0.186314	0.059905	1.96753	2.10645	305.713	1.36936	0.00283648	0.00267238	1.76118	
0.064897	-365.399	558.192	-23.6928	1.46717	5.47009	8.74548	0.171443	0.064897	-2.68408	-2.55634	305.688	1.46717	0.00354216	0.00273556	2.49615	
0.0698891	-365.524	558.284	-23.5855	1.56498	4.23532	6.50874	0.150117	0.0698891	-2.35858	-2.29645	305.742	1.56498	0.00239301	0.00245334	1.69281	
